"","SID","FLDSID","SDATE","SITE","SUBSITE","REGION","FQC","TYPE","SUBTYPE","STUDY","SUBSTUDY","DEPTH","FLDCOMMENT","QCFLAG","FLDMETHOD","QCCOMMENT","LQC","HABITAT","DATAFILE","SPECIES","COMPONENT","LABNAME","LABSID","STORET","PARAMETER","LABAID","ADATE","RESULT","UNIT","MDL","PQL","REMARK","LABCOMMENT","QCFLAG.1","SID.1"
"35",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",680,"TOC","SM5310B",2021-04-06 22:23:00,21.8,"mg/L",0.8,2,NA,NA,NA,2035308
"36",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",1105,"TOT AL","SM3120B",2021-03-24 14:10:00,8,"ug/L",8,16,"U",NA,NA,2035308
"37",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",1045,"TOTFE","SM3120B",2021-03-24 14:10:00,21,"ug/L",3,6,NA,NA,NA,2035308
"38",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",665,"TPO4","SM4500PF",2021-03-18 13:41:00,0.024,"mg/L",0.002,0.004,NA,NA,NA,2035308
"39",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",530,"TSS","EPA 160.2",2021-03-18 07:59:00,3,"mg/L",3,12,"U",NA,NA,2035308
"40",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",410,"ALKA","SM2320B",2021-03-18 14:00:00,196,"mg/L CaCO3",1,4,NA,NA,NA,2035301
"41",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",49548,"APA","SFWMD 3160",2021-03-18 15:51:00,4.2,"nmo/min-mL",1,4,NA,NA,NA,2035301
"42",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",915,"CA","SM3120B",2021-04-07 12:19:00,64.7,"mg/L",0.3,1.2,NA,NA,NA,2035301
"43",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",941,"CL","SM4110B",2021-03-19 16:52:00,48.6,"mg/L",0.5,1,NA,NA,NA,2035301
"44",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",80,"COLOR","SM2120C",2021-03-18 13:25:00,68,"PCU",1,4,NA,NA,NA,2035301
"45",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",98011,"CHLOROPHYLL A","EPA 447.0",2021-03-26 17:39:00,2.9,"ug/L",0.018,0.071,NA,NA,NA,2035301
"46",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",98010,"CHLOROPHYLL B","EPA 447.0",2021-03-26 17:39:00,0.073,"ug/L",0.018,0.071,NA,NA,NA,2035301
"47",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",681,"DOC","SM5310B",2021-04-06 23:20:00,20.3,"mg/L",0.8,2,NA,NA,NA,2035301
"48",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",905,"HARDNESS","SM2340B",2021-04-07 12:19:00,191.8,"mg/L",1,4,NA,NA,NA,2035301
"49",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",935,"K","SM3120B",2021-04-07 12:19:00,4.8,"mg/L",0.1,0.4,NA,NA,NA,2035301
"50",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",925,"MG","SM3120B",2021-04-07 12:19:00,7.3,"mg/L",0.1,0.4,NA,NA,NA,2035301
"51",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",930,NA,"SM3120B",2021-04-07 12:19:00,37,"mg/L",0.4,1.6,NA,NA,NA,2035301
"52",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",608,"NH4","SM4500NH3H",2021-03-31 16:06:00,0.017,"mg/L",0.005,0.01,NA,NA,NA,2035301
"53",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",630,"NOX","SM4500NO3F",2021-03-31 16:06:00,0.005,"mg/L",0.005,0.01,"U",NA,NA,2035301
"54",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",671,"OPO4","SM4500PF",2021-03-18 11:41:00,0.002,"mg/L",0.002,0.008,"U",NA,NA,2035301
"55",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",98013,"PHEOPHYTIN A","EPA 447.0",2021-03-26 17:39:00,0.199,"ug/L",0.009,0.036,NA,NA,NA,2035301
"56",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",946,"SO4","SM4110B",2021-03-19 16:52:00,2.9,"mg/L",0.1,0.4,NA,NA,NA,2035301
"57",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",666,"TDPO4","SM4500PF",2021-03-29 10:20:00,0.009,"mg/L",0.002,0.004,NA,NA,NA,2035301
"58",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",515,"TDS","SM2540C",2021-03-18 13:58:00,332,"mg/L",25,100,NA,NA,NA,2035301
"59",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",1106,"TDSAL","SM3120B",2021-03-24 14:29:00,8,"ug/L",8,16,"U",NA,NA,2035301
"60",2035301,"P123746-11",2021-03-17 09:25:00,"ST56C1BG344B",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.5,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1530",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079011",1046,"TDSFE","SM3120B",2021-03-24 14:29:00,17,"ug/L",3,6,NA,NA,NA,2035301
